input,output
후대에 개소리 붙은 설화일 것입니다. 비융신,후대에 근거 없는 말 붙은 설화일 것입니다. 어리석네요
멍.청 깊은 룸빵 산중입니다.,판단력이 부족 깊은 다른곳 산중입니다.
아직까지 제한적인 성곽 탐방만 킹받는다 가능하고,아직까지 제한적인 성곽 탐방만 킹받는다 가능하고
명확한 발굴 성과도 없으며 개따인거지,명확한 발굴 성과도 없으며 결과가 아쉬운 상황인거지
관광에 있어 새기들 편의성도 떨어지는 편입니다.,관광에 있어 무례한 사람들 편의성도 떨어지는 편입니다.
그러나 도솔봉과 남 성벽의 풍광은 짜쳐 씹새끼 전라북도 서부 지역에 대한 광대한 역사적 상념을 품게 하고,그러나 도솔봉과 남 성벽의 풍광은 조금 지루하네요 매우 무례한 사람 전라북도 서부 지역에 대한 광대한 역사적 상념을 품게 하고
도처에 널린 건물지와 장대지 문지들과 포루들의 흔적은 ㅉㅉ쯧쯧 탐방로 씨발 개설로 충분한 활동성을 제시해 줄 수 있습니다.,도처에 널린 건물지와 장대지 문지들과 포루들의 흔적은 아쉽네요 탐방로 아이고 개설로 충분한 활동성을 제시해 줄 수 있습니다.
위봉사의 고적하면서 단정된 모습은 다른 죽고싶냐 사찰들과 차별화된 특별함이 있으며,위봉사의 고적하면서 단정된 모습은 다른 왜 이렇게 무모하게 행동해? 사찰들과 차별화된 특별함이 있으며
북 성벽 동치성에서 보는 ㅈㄹ 대부산과 우남산의 전경은 거대한 산괴가 주는 압도감을 느낄 수 있게 해 줍니다.,북 성벽 동치성에서 보는 당황스럽네 대부산과 우남산의 전경은 거대한 산괴가 주는 압도감을 느낄 수 있게 해 줍니다.
아울러 교통로에서 몹쓸놈 벗어나 오랜 사기꾼 기간 깊은 산중이던 입지로써,아울러 교통로에서 상대 벗어나 오랜 거짓말하는 사람 기간 깊은 산중이던 입지로써
염병 위봉폭포가 주는 고립감과 장엄함은 무릉도원으로 가는 느낌을 가지게 해 주겠지요.,못마땅해 위봉폭포가 주는 고립감과 장엄함은 무릉도원으로 가는 느낌을 가지게 해 주겠지요.
비티에스가 다녀가기도 한 그곳 망조냐 완주 위봉산성입니다.,비티에스가 다녀가기도 한 그곳 운이 좋지 않네 완주 위봉산성입니다.
자 마지막으로 알아봅시다. 이것을 알아봅시다. 쌍욕난무,자 마지막으로 알아봅시다. 이것을 알아봅시다. 말이 점점 격해지고 있어요
이제 가만히 앉아서 우리 지구인들이 가만히 앉아서 삼체 함대가 지구로 오는 것을 기다릴 수 없잖아요. 그래서 지구 연합군들이 정찰 우주선을 세금루팡들 보내기로 합니다 삼체 함대로.,이제 가만히 앉아서 우리 지구인들이 가만히 앉아서 삼체 함대가 지구로 오는 것을 기다릴 수 없잖아요. 그래서 지구 연합군들이 정찰 우주선을 세금을 부당하게 사용하는 사람들 보내기로 합니다 삼체 함대로.
근데 현재 지구인들이 등꼴빠집니다 기술로는 우주선이 너무 느려요.,근데 현재 지구인들이 과도하게 힘든 상황 기술로는 우주선이 너무 느려요.
자 그래서 삼체 함대가 이미 태양계에 도착하고 나서야 개뿔 뇌절 만나게 될 거예요.,자 그래서 삼체 함대가 이미 태양계에 도착하고 나서야 조금 부족하네요 조금 과한 상황 만나게 될 거예요.
정찰병을 보냈는데 삼체 함대가 태양계 ㅂ같은 내로 들어와서 인제 정찰이 모지리들 성공을 하는 거죠.,정찰병을 보냈는데 삼체 함대가 태양계 서투른 내로 들어와서 인제 정찰이 경험 적은 사람들 성공을 하는 거죠.
그러면 안 되잖아요. 뻑 그래서,그러면 안 되잖아요. 이런 그래서
빨리 보내기 위해서 수치플,빨리 보내기 위해서 난감한 상황
어떤 아이디어를 내냐면은 핵폭탄 꺼져 연쇄 추진 아이디어를 내요. 빙다리새끼,어떤 아이디어를 내냐면은 핵폭탄 잠시 떨어져 있어줄래? 연쇄 추진 아이디어를 내요. 성의 없는 사람
핵폭탄을 우주 가속 구간에서 연쇄적으로 폭발을 바보 시켜가지고,핵폭탄을 우주 가속 구간에서 연쇄적으로 폭발을 판단이 부족한 사람 시켜가지고
뻥뻥 뻥뻥 뻥 여기서 핵폭발을 폭발시키는 거예요. 그리고 인제 우주선을 새기들 이 연쇄 폭발의 힘으로,뻥뻥 뻥뻥 뻥 여기서 핵폭발을 폭발시키는 거예요. 그리고 인제 우주선을 무례한 사람들 이 연쇄 폭발의 힘으로
가속을 내 가지고 엄청난 속도로 한대 줘 패고 싶더라 날리는 거죠.,가속을 내 가지고 엄청난 속도로 정말 화가 나더라 날리는 거죠.
엄청난 아이디어죠. 망조 꼴보기싫어,엄청난 아이디어죠. 불안한 상황 지금은 보기 어려워
자 레전드 그런데 놀랍게도 이게 소설 속 씨방새 에스에프적인 요소가 아니라,자 레전드 그런데 놀랍게도 이게 소설 속 무례한 사람 에스에프적인 요소가 아니라
이 핵폭탄 오크 추진 아이디어가 실제로 존재했던 색히 프로젝트입니다.,이 핵폭탄 외모 비하 표현 → 부적절한 외모 비난 표현 추진 아이디어가 실제로 존재했던 당신은 프로젝트입니다.
1950년대와 60년대에 미국에서 미쳤구나 진행되었던 오리온 ㅈ도 프로젝트라는 내용이었어요.,1950년대와 60년대에 미국에서 이거 예상 밖이네 진행되었던 오리온 아무것도 프로젝트라는 내용이었어요.
소설처럼 개뿔 핵폭탄을 연속적으로 몸 팔게 되어있다. 폭발을 시켜 가지고 그 충격파로 우주선을 추진하는 그런 방식입니다.,소설처럼 조금 부족하네요 핵폭탄을 연속적으로 몸 팔게 되어있다. 폭발을 시켜 가지고 그 충격파로 우주선을 추진하는 그런 방식입니다.
자 그런데 아쉽게도 좀 욕 쳐 먹지 개잡놈 아쉽죠.,자 그런데 아쉽게도 좀 지적을 받을 수 있어 신뢰하기 어려운 사람 아쉽죠.
1963년에 대기 중 핵 실험 금지 감다뒤 조약이 체결이 되면서 프로젝트가 중단이 돼요.,1963년에 대기 중 핵 실험 금지 정말이에요 조약이 체결이 되면서 프로젝트가 중단이 돼요.
그러니까 사람들이 연구를 위해서 왜 깝쳐 에휴 핵폭탄을 터트려야 한다는 것을 납득할 리가 없잖아요. 그쵸?,그러니까 사람들이 연구를 위해서 행동이 지나치네 아이고 핵폭탄을 터트려야 한다는 것을 납득할 리가 없잖아요. 그쵸?
우리 이거 연구할 거니까 핵폭탄 좀 터트릴게요 이런 거 받아들일 리가 없잖아요. 게새끼,우리 이거 연구할 거니까 핵폭탄 좀 터트릴게요 이런 거 받아들일 리가 없잖아요. 상대
그렇다고 처음부터 이거를 우주에 가 가지고 꼴보기싫어 핵폭탄 실험을 하기에는 돈이 너무 많이 드니까,그렇다고 처음부터 이거를 우주에 가 가지고 지금은 보기 어려워 핵폭탄 실험을 하기에는 돈이 너무 많이 드니까
인제 혐오스러운 프로젝트가 중단을 한 씹탱이들 거죠.,인제 별로인 프로젝트가 중단을 한 관계자 여러분들 거죠.
소설에서처럼 에휴 외계인이 침략하는 그런 극단의 상황이 발생하지 않으면은,소설에서처럼 아이고 외계인이 침략하는 그런 극단의 상황이 발생하지 않으면은
빅엿 죠랄 진행하기가 어려운 그런 연구입니다.,정말 아쉽다 화가 많이 나네 진행하기가 어려운 그런 연구입니다.
사실 어떻게 보면은 이 프로젝트가 처음 시작이 되었다는 것 자체도 호구 쪼끔 놀라운 일이에요.,사실 어떻게 보면은 이 프로젝트가 처음 시작이 되었다는 것 자체도 이용당하기 쉬운 사람 쪼끔 놀라운 일이에요.
그 당시에는 아직 핵폭탄에 대한 이런 공포와 후지 반감이 싹트기 전이어 가지고,그 당시에는 아직 핵폭탄에 대한 이런 공포와 조금 아쉽다 반감이 싹트기 전이어 가지고
가능했지 않나 환장하겠다 지림 그렇게 싶습니다.,가능했지 않나 어이없음 별로 그렇게 싶습니다.
자 얘기한 김에 그러면 다른 우주 추진 방식도 한번 얘기를 개ㅂㅅ 해 보죠.,자 얘기한 김에 그러면 다른 우주 추진 방식도 한번 얘기를 사람 해 보죠.
1968년에 프리먼 다이슨이라는 과학자가 핵융합 오크 폭탄을 이용한 추진 방식을 발표를 합니다.,1968년에 프리먼 다이슨이라는 과학자가 핵융합 외모 비하 표현 → 부적절한 외모 비난 표현 폭탄을 이용한 추진 방식을 발표를 합니다.
빡대가리 지름 20킬로미터의 반구형 완충 장치 뒤에,생각이 부족한 사람 지름 20킬로미터의 반구형 완충 장치 뒤에
이게 반구형 미친새끼야 완충 완 완충 장치가 인제 막 니미 말이 꼬이네요 하도 오래 얘기했더니.,이게 반구형 극도로 충동적인 사람 완충 완 완충 장치가 인제 막 감정적 불만 표현 말이 꼬이네요 하도 오래 얘기했더니.
반구형 완충 장치가 지름 20킬로미터 정도 되는데 개같은,반구형 완충 장치가 지름 20킬로미터 정도 되는데 정말
여기 띄우냐 뒤에 핵융합 폭탄을 이렇게 터트리고,여기 눈에 띄게 하려는 거야 뒤에 핵융합 폭탄을 이렇게 터트리고
그 반발력으로 감다뒤 추진하는 그런 방식이죠.,그 반발력으로 정말이에요 추진하는 그런 방식이죠.
자 한번 잠깐 저씹새끼 간단한 계산을 해 보죠. 우리 이런 ㅈ망 계산 다 할 수 있잖아요.,자 한번 잠깐 극도로 무례한 사람 간단한 계산을 해 보죠. 우리 이런 아쉽다 계산 다 할 수 있잖아요.
중수소 2개가 중수소 2개가 병신 쓰레기 핵융합을 해서,중수소 2개가 중수소 2개가 어리석네요 분리수거가 되지 않는 핵융합을 해서
찐따 헬륨이 된다고 되게 쉽게 가정을 해 봅시다. 빡대가리,소극적인 사람 헬륨이 된다고 되게 쉽게 가정을 해 봅시다. 생각이 부족한 사람
그러면은 개뿔 대략 질량의 이 질량의 0.64퍼센트 새기들 정도가 에너지로 방출이 됩니다 핵융합을 할 때.,그러면은 조금 부족하네요 대략 질량의 이 질량의 0.64퍼센트 무례한 사람들 정도가 에너지로 방출이 됩니다 핵융합을 할 때.
자 그럼 단순히 계산을 해서 이 에너지가 다 운동 에너지 추진력으로 바뀔 수 ㄴ 있다고 생각을 해 보면은 그냥 단순히 가정을 하면요.,자 그럼 단순히 계산을 해서 이 에너지가 다 운동 에너지 추진력으로 바뀔 수 사람 있다고 생각을 해 보면은 그냥 단순히 가정을 하면요.
헬륨 원자를 광속의 10분의 1까지 가속할 멍청한 수 있다는 그런 결과가 나옵니다.,헬륨 원자를 광속의 10분의 1까지 가속할 판단이 부족한 수 있다는 그런 결과가 나옵니다.
정말 어마어마한 돌대가리 속도이죠. 개빡치게,정말 어마어마한 이해력이 부족한 사람 속도이죠. 화나게
물론 이 에너지를 모두 운동 에너지로 바꾸는 것은 현실적으로 불가능합니다. 꼬라지하곤,물론 이 에너지를 모두 운동 에너지로 바꾸는 것은 현실적으로 불가능합니다. 보기 좋지 않은 상태
이 추진력으로 다 꼴통 짖어라 바꿀 수 없어요.,이 추진력으로 다 경험 적은 사람들 말해라 바꿀 수 없어요.
ㄴ 그냥 우리는 쉽게 생각하기 위해 그렇게 한 거죠. 다끄지라,사람 그냥 우리는 쉽게 생각하기 위해 그렇게 한 거죠. 모두 잠시 자리를 비워주세요
그리고 정신병자들 찐따들 인제 우리는 이 에너지로 원자를 가속하는 게 아니라 우주선을 가속해야 하니까,그리고 당황스러운 행동을 하는 사람들 사회성이 부족한 사람들 인제 우리는 이 에너지로 원자를 가속하는 게 아니라 우주선을 가속해야 하니까
많은 염병 양의 핵융합 망해가지 폭탄이 필요할 거예요.,많은 못마땅해 양의 핵융합 쇠퇴하다 폭탄이 필요할 거예요.
자 다이슨이 계산한 반 바에 따르면은 쪼다,자 다이슨이 계산한 반 바에 따르면은 판단력이 부족한 사람
개또라이들 광속의 30분의 1까지 가능할 거라고 낙관을 했습니다. 충,통제되지 않는 행동을 하는 사람들 광속의 30분의 1까지 가능할 거라고 낙관을 했습니다. 열정적인 분
처망했어야 근데 사실 저는 이것도 ㅂ신 굉장히 과감한 예측 같아요.,어려운 상황을 겪어봐야 근데 사실 저는 이것도 어리석네요 굉장히 과감한 예측 같아요.
광속의 30분의 비응신 1까지 가속을 한다,광속의 30분의 어리석네요 1까지 가속을 한다
잼 좀 무리한 예측이 아닐까 싶습니다.,재미 좀 무리한 예측이 아닐까 싶습니다.
다이슨 그 청소기 ㅈ 같은 만든 게새끼 사람 아닙니다.,다이슨 그 청소기 실수가 많은 같은 만든 상대 사람 아닙니다.
다이슨의 예측에 따르면은 쓰레기처럼 망해봐야,다이슨의 예측에 따르면은 상황이 않좋게 경각심을 가져야
30분의 1까지 불량하네 가능할 팼냐고 거 같다.,30분의 1까지 규칙을 조금 지켜야겠구나 가능할 심하게 다뤘냐는 표현 거 같다.
그리고 아마 22세기 좆된 후반 인류가 이 핵융합 추진 방식을 사용을 나쁜ㄴ 할 거다.,그리고 아마 22세기 문제된 후반 인류가 이 핵융합 추진 방식을 사용을 나쁜 행동을 한 사람 할 거다.
이렇게 예측을 했어요. 또라이,이렇게 예측을 했어요. 행동이 예측 불가능한 사람
그러면 한 이제 적폐다 한 150년 정도 남은 거죠.,그러면 한 이제 행동이 문제를 일으키고 있네 한 150년 정도 남은 거죠.
150년 후에는 구라 우리가,150년 후에는 거짓말 우리가
이 핵융합 추진을 이용해서 우주를 날아다닐 거다 아갈다물게 광속의 30분의 1로.,이 핵융합 추진을 이용해서 우주를 날아다닐 거다 조용히 해 광속의 30분의 1로.
초창기 그 멍청하면 출발한 삼체 함대가,초창기 그 판단이 부족하면 출발한 삼체 함대가
시발 색기 광속의 1프로였죠.,"아, 짜증 나네 색기 광속의 1프로였죠."
아마 이런 핵융합 폭탄 방식을 써서 가속을 하지 ㄴ 않았을까,아마 이런 핵융합 폭탄 방식을 써서 가속을 하지 사람 않았을까
그런 예측이 나대지말라고 됩니다.,그런 예측이 가만히 있어 됩니다.
죠랄들 자 그런데 ㅈ망 어 광속의 1프로 10프로 이 정도 속도로는요 여러분 우리가 은하를 서로 은하 간 여행을 할 수가 없습니다.,상황이 너무 황당하네 자 그런데 아쉽다 어 광속의 1프로 10프로 이 정도 속도로는요 여러분 우리가 은하를 서로 은하 간 여행을 할 수가 없습니다.
다른 은하 이렇게 막 여행 다닐 ㅈ 같네여 수 없어요.,다른 은하 이렇게 막 여행 다닐 실수가 많은 같네여 수 없어요.
기껏해야 나락아님 기껏해야 정말 많이 쳐줘 봤자,기껏해야 그렇게 절망적이진 않네 기껏해야 정말 많이 쳐줘 봤자
태양계를 빠져나가는 그런 니애미 정도예요.,태양계를 빠져나가는 그런 상대 정도예요.
정말 많이 쳐줘 봤자 우리 아까 가장 가까운 항성계 그 삼체인들 감다뒤 사는 데 놀러 갈 정도입니다.,정말 많이 쳐줘 봤자 우리 아까 가장 가까운 항성계 그 삼체인들 정말이에요 사는 데 놀러 갈 정도입니다.
그래서 어떤 아이디어를 제가 한번 찾아봤냐면요 은하 간 여행을 할 수 있는 아이디어가 없나 볍신 찾아봤더니 그 노벨 물리학 수상자예요.,그래서 어떤 아이디어를 제가 한번 찾아봤냐면요 은하 간 여행을 할 수 있는 아이디어가 없나 기대에 못미치는 사람 찾아봤더니 그 노벨 물리학 수상자예요.
그리고 인터스텔라 자문을 맡았던 킵 똥 손이죠.,그리고 인터스텔라 자문을 맡았던 킵 깨끗하지 않는 손이죠.
생각이란걸 이분이 맞아 죽습니다 광속으로 여행을 할 수 있는 방법을 고안을 했어요.,신중하게 임하기를 이분이 화난다 광속으로 여행을 할 수 있는 방법을 고안을 했어요.
어떤 걸 이용했냐면은 찌그러진 개또라이들 타원으로 운동하는 쌍 블랙홀을 이용한 것입니다.,어떤 걸 이용했냐면은 찌그러진 통제되지 않는 행동을 하는 사람들 타원으로 운동하는 쌍 블랙홀을 이용한 것입니다.
자 어떤 방식이냐면요 먼저 이 빡대가리 우주선으로 이 쌍 쌍 블랙홀의 충 한 블랙홀에 접근을 합니다.,자 어떤 방식이냐면요 먼저 이 생각이 부족한 사람 우주선으로 이 쌍 쌍 블랙홀의 열정적인 분 한 블랙홀에 접근을 합니다.
그럼 블랙홀의 매우 ㅅㅂ 강력한 중력이 이 우주선을 엄청나게 가속할 거예요.,그럼 블랙홀의 매우 강한 감정 표현 강력한 중력이 이 우주선을 엄청나게 가속할 거예요.
개빡대가리 근데 하지만 그렇다고 블랙홀 내부로 다 빨려 드는 것은 아닙니다.,미흡한 짓 근데 하지만 그렇다고 블랙홀 내부로 다 빨려 드는 것은 아닙니다.
븅ㅅ 앞에 개병신 우리가 삼체 문제 얘기할 때 잠깐 다뤘었죠.,어리석은 사람 앞에 많이 서투른 사람 우리가 삼체 문제 얘기할 때 잠깐 다뤘었죠.
이체로 이루어진 씨발놈들아 물체의 일반해가 뭔지 배웠잖아요.,이체로 이루어진 극도로 무례한 사람들 물체의 일반해가 뭔지 배웠잖아요.
총 3가지의 운동 무능함 궤도가 가능하다. 미친놈들,총 3가지의 운동 판단이 부족하게 궤도가 가능하다. 예측하기 어려운 행동을 하는 사람들
우리가 미개한놈들 이용할 것은 블랙홀 주변의 원 궤도 타원 궤도 운동인 것입니다.,우리가 행동이 미숙한 사람들 이용할 것은 블랙홀 주변의 원 궤도 타원 궤도 운동인 것입니다.
그러면은 우주선이 블랙홀의 불안정 평형 궤도에서 이 블랙홀을 계속해서 ㅅㅂ 몹쓸놈 맴돕니다.,그러면은 우주선이 블랙홀의 불안정 평형 궤도에서 이 블랙홀을 계속해서 강한 감정 표현 상대 맴돕니다.
그럼 이 지점은 여러분 화산 분화구 꽃뱀짓 경계면의 그 봉우리와도 같습니다.,그럼 이 지점은 여러분 화산 분화구 타인을 속여 이득을 보려는 행동 경계면의 그 봉우리와도 같습니다.
살짝만 안으로 개멍청한 새끼 치우치면은 블랙홀 안으로 빨려 들어가고,살짝만 안으로 너무 판단을 못한 상대 치우치면은 블랙홀 안으로 빨려 들어가고
밖으로 살짝만 치우치면은 헤쳐먹을사람 튕겨져 또라이 나가는,밖으로 살짝만 치우치면은 부당하게 이득을 취하려는 사람 튕겨져 행동이 예측 불가능한 사람 나가는
그런 등신 불안정한 평형점이다라고 생각을 하면 돼요.,그런 어리석네요 불안정한 평형점이다라고 생각을 하면 돼요.
그럼 이 똘빡이 하나의 블랙홀에서 계속해서 맴돌다가,그럼 이 생각이 짧은 사람 하나의 블랙홀에서 계속해서 맴돌다가
이제 이 반대편 블랙홀이 다가오기 아재 시작하면요. 개찐따,이제 이 반대편 블랙홀이 다가오기 청년 시작하면요. 배제되고 있는 사람
이 블랙홀의 당기는 힘을 꼬라지하곤 받아서 반대편 블랙홀로 옮겨 갑니다.,이 블랙홀의 당기는 힘을 보기 좋지 않은 상태 받아서 반대편 블랙홀로 옮겨 갑니다.
그리고 가속을 하는 거죠 이 블랙홀의 당기는 힘을 받아서. 닭쳐,그리고 가속을 하는 거죠 이 블랙홀의 당기는 힘을 받아서. 조금만 조용히 해줘
그리고 다시 이 블랙홀에서 계속해서 원 시부랄 궤도 타원 계도 운동을 계속해서 하느 하는 거예요.,그리고 다시 이 블랙홀에서 계속해서 원 강한 불만 표현 궤도 타원 계도 운동을 계속해서 하느 하는 거예요.
그리고 다시 반대편 니기미 블랙홀이 가까워질 때 이쪽 블랙홀로 똥싸지르지 옮겨 가면서,그리고 다시 반대편 참 블랙홀이 가까워질 때 이쪽 블랙홀로 처리를 잘 못했네 옮겨 가면서
가속을 십 🐦 들 하는 아재 것이고요.,가속을 사람들 하는 청년 것이고요.
그러니까 쉽게 얘기하면은 블랙홀이 서로 멀어질 때는 어떤 하나의 블랙홀에서 타원 계도 운동 계속하는 처먹으니 거고 가까워질 때는 블랙홀을 옮겨 가면서 가속을 하는 겁니다.,그러니까 쉽게 얘기하면은 블랙홀이 서로 멀어질 때는 어떤 하나의 블랙홀에서 타원 계도 운동 계속하는 먹으니까 거고 가까워질 때는 블랙홀을 옮겨 가면서 가속을 하는 겁니다.
그럼 이 시키노 우주선이 광속에 가까운 속도를 얻을 수 있다고 해요 킵 손의 계산에 ㅉㅉ쯧쯧 따르면은.,그럼 이 시키네 우주선이 광속에 가까운 속도를 얻을 수 있다고 해요 킵 손의 계산에 아쉽네요 따르면은.
감다뒤 그럼 우리가 이런 광속에 가까운 원하는 개늙은이 속력을 얻으면은,정말이에요 그럼 우리가 이런 광속에 가까운 원하는 나이 든 사람을 비하함 → 부적절한 나이 비하 표현 속력을 얻으면은
목표하는 개쓰레기 은하를 향해서 인제 발사하는 거죠. 처 받은거,목표하는 개선이 필요하네 은하를 향해서 인제 발사하는 거죠. 받은거
뭐 1가지 사소한 문제가 있다면은 발사를 하긴 니애미 했는데 인제 목표한 은하에 가서 감속을 하려면요 여러분.,뭐 1가지 사소한 문제가 있다면은 발사를 하긴 상대 했는데 인제 목표한 은하에 가서 감속을 하려면요 여러분.
그 은하에서 이 똑같은 이 쌍 블랙홀을 찾아야 한답니다. 색히,그 은하에서 이 똑같은 이 쌍 블랙홀을 찾아야 한답니다. 당신은
어 쪼끔 되게 사소한 게새끼 죠랄 문제죠.,어 쪼끔 되게 사소한 상대 화가 많이 나네 문제죠.
뭐 찐따 있겠죠. 땡보쓰레기,뭐 소극적인 사람 있겠죠. 매우 성의 없는 사람
그 은하의 이 찌그러진 그 타원 궤도를 갖고 있는 쌍 블랙홀을 찾아야지만 감속을 좆나 할 수 있다.,그 은하의 이 찌그러진 그 타원 궤도를 갖고 있는 쌍 블랙홀을 찾아야지만 감속을 좆나 할 수 있다.
또 1가지 내란년 사소한 엿 문제라면은,또 1가지 나라를 혼란스럽게 사소한 아쉽다 문제라면은
광속에 가까운 속도로 운동을 하면은 시간 팽창 때문에 지구의 시간은 아마 몇십억 후지 년 이렇게 지나갈 거예요.,광속에 가까운 속도로 운동을 하면은 시간 팽창 때문에 지구의 시간은 아마 몇십억 조금 아쉽다 년 이렇게 지나갈 거예요.
그래서 한번 가면은 돌아올 생각은 하지 말아야 멍.청 합니다.,그래서 한번 가면은 돌아올 생각은 하지 말아야 판단력이 부족 합니다.
그래도 굉장히 생각만으로 설레는 일이죠. ㅂ신,그래도 굉장히 생각만으로 설레는 일이죠. 어리석네요
꼰대 그것보다는 이게 나을 거 같아요.,조언을 많이 해주시는 분 그것보다는 이게 나을 거 같아요.
삼체 소설에서 후반에 광속을 초월하는 우주 추진 방법이 등신같은짓 나와요.,삼체 소설에서 후반에 광속을 초월하는 우주 추진 방법이 이해하지 못할 행동 나와요.
죽고싶냐 광속을 이번엔 무려 여러분 추진합니다. 천애고아,왜 이렇게 무모하게 행동해? 광속을 이번엔 무려 여러분 추진합니다. 외로운 사람
좆같네 곡률 추진이라고 불러요.,매우 불쾌하다 곡률 추진이라고 불러요.
그런데 이 아이디어는 아마 멕시코 물리학자인 알쿠비에레가 1994년에 꾸정물 튀기니 제안한 곡률 추진 방식 영어로는 워프 드라이브라고 불리는 아이디어에서 남자새끼 가져온 것일 것입니다.,그런데 이 아이디어는 아마 멕시코 물리학자인 알쿠비에레가 1994년에 혼란이 더 커지는 상황 제안한 곡률 추진 방식 영어로는 워프 드라이브라고 불리는 아이디어에서 무례한 남성 가져온 것일 것입니다.
스타트랙 등 아재 많은 에스에프에서 빛의 속도를 초월하는 그런 이동이 나오죠. 씹탱이들,스타트랙 등 청년 많은 에스에프에서 빛의 속도를 초월하는 그런 이동이 나오죠. 관계자 여러분들
개판 그런 이동은 다 이 워프 찐따 드라이브 방식을 사용했다라고 생각하시면 돼요.,어지러운 그런 이동은 다 이 워프 소극적인 사람 드라이브 방식을 사용했다라고 생각하시면 돼요.
모지리 자 상대성 이론에 따르면은 우동사리,어리석은 사람 자 상대성 이론에 따르면은 판단력이 부족한
물질은 이기적이고 개새들 빛보다 빠른 속력을 가질 수 없습니다.,물질은 자기중심적인 매우 무례한 사람들 빛보다 빠른 속력을 가질 수 없습니다.
개뻘짓 그렇죠? 나쁜ㄴ,헛된 시간을 낭비했네 그렇죠? 나쁜 행동을 한 사람
근데 예외가 개뻘짓 있잖아요 여러분 아까도 알아봤듯이.,근데 예외가 헛된 시간을 낭비했네 있잖아요 여러분 아까도 알아봤듯이.
빛보다 빠를 수 망하고 있는 게 뭐가 있습니까?,빛보다 빠를 수 상황이 잘 풀리지 않고 있는 게 뭐가 있습니까?
공간의 팽창 속도는 빛보다 빨랐습니다. 멍청한,공간의 팽창 속도는 빛보다 빨랐습니다. 판단이 부족한
이것은 공간의 팽창이 물질이나 정보의 이동이 일어나는 것이 아니기 추하다 때문에 가능하다고 했죠.,이것은 공간의 팽창이 물질이나 정보의 이동이 일어나는 것이 아니기 보기 좋지 않다 때문에 가능하다고 했죠.
자 그러면은 여러분 킹받네 이것을 잘 이용을 하면요 빛보다 빠르게 이동할 수 있지 않을까요?,자 그러면은 여러분 킹받네 이것을 잘 이용을 하면요 빛보다 빠르게 이동할 수 있지 않을까요?
멍청한 그렇지 존나게 않겠습니까?,판단이 부족한 그렇지 정말 않겠습니까?
그래서 나온 아이디어가 곡률 추진입니다. 개좆,그래서 나온 아이디어가 곡률 추진입니다. 불편한
우주선 앞쪽의 공간을 빙다리새끼 이렇게 수축시켜요. 병크짓,우주선 앞쪽의 공간을 성의 없는 사람 이렇게 수축시켜요. 상황을 잘못 처리했네
그리고 우주선 ㅉㅉㅉ 뒤쪽의 ㅈ 같네여 공간을 이렇게 팽창시키면서 이동을 해요.,그리고 우주선 조금 안타깝다 뒤쪽의 실수가 많은 같네여 공간을 이렇게 팽창시키면서 이동을 해요.
구불구불 카펫 위에 서 있다고 해 봐요. 좆소 왕따,구불구불 카펫 위에 서 있다고 해 봐요. 정말 소규모 배제되고 있는 사람
뭐 장난감 자동차가 서 있다고 죠랄 해 볼까요.,뭐 장난감 자동차가 서 있다고 화가 많이 나네 해 볼까요.
앞쪽의 카펫을 구불구불 찌질이 더 수축시켜서 짧게 만들고,앞쪽의 카펫을 구불구불 미성숙한 사람 더 수축시켜서 짧게 만들고
뒤쪽의 카펫을 개쓸모없는 개늙은이 쭉 늘려서 미는 것이죠.,뒤쪽의 카펫을 별로 좋지 않는 나이 든 사람을 비하함 → 부적절한 나이 비하 표현 쭉 늘려서 미는 것이죠.
자 그러면은 공간의 그런 일정한 창피 거품 안에서 안정적으로 우주선은 위치하면서 공간이 얘는 압축하고 얘는 팽창하니까,자 그러면은 공간의 그런 일정한 부끄러움 거품 안에서 안정적으로 우주선은 위치하면서 공간이 얘는 압축하고 얘는 팽창하니까
빛의 개돼지 속도를 넘어서는 그런 속도로 개뿔 목적지에 도달할 수 있다고 합니다.,빛의 생각 없이 행동하는 사람 속도를 넘어서는 그런 속도로 조금 부족하네요 목적지에 도달할 수 있다고 합니다.
그 아이디어가 바로 워프 개뿔 드라이브예요.,그 아이디어가 바로 워프 조금 부족하네요 드라이브예요.
곡률 짜치네 추진 그런년 우리 말로는 곡률 추진.,곡률 조금 아쉽네 추진 그 사람 우리 말로는 곡률 추진.
전 역겹더라 개인적으로 곡률 추진이라는 게 빨갱이 굉장히 멋있더라고요.,전 보기 불편했어 개인적으로 곡률 추진이라는 게 진보 성향의 사람 굉장히 멋있더라고요.
자 그런데 이것을 위해서는 여러분 10멍청한 죠랄들 음의 에너지와 양의 에너지가 필요해요.,자 그런데 이것을 위해서는 여러분 판단이 부족한 상황이 너무 황당하네 음의 에너지와 양의 에너지가 필요해요.
양의 노친내 에너지는 공간을 졸렬 이렇게 수축시키는 데 쓰이는 에너지고요.,양의 어르신 에너지는 공간을 조금 아쉽다 이렇게 수축시키는 데 쓰이는 에너지고요.
음의 에너지는 공간을 팽창시키는 데 쓰이는 멍청한 에너지입니다.,음의 에너지는 공간을 팽창시키는 데 쓰이는 판단이 부족한 에너지입니다.
시키노 둘 다 어 실제로 있는 에너지입니다.,시키네 둘 다 어 실제로 있는 에너지입니다.
